Record ID,Company Name,Industry,Carbon Emissions (MT),Water Usage (m^3),Energy Consumption (MWh),Waste Generation (MT),Recycling Rate (%),Supply Chain Sustainability Score,Employee Transportation Mode,Renewable Energy Use (%),Sustainability Training,Community Engagement Score,Sustainability Reporting Frequency,Eco-friendly Product Lines (%),Investment in Sustainability (USD),Third-party Sustainability Certification,Customer Feedback Score on Sustainability,Sustainable Packaging Initiatives,Likelihood of Achieving Sustainability Goals,Sustainability_Goals_Segment,Engagement Impact Score,Unrenewable Energy (MWh),Energy Tax,Carbon Tax,Carbon Emissions relative to industry average (%),Water Usage relative to industry average (%),Energy Consumption relative to industry average (%),Waste Generation relative to industry average (%),Energy Tax difference from industry average ($),Carbon Tax difference from industry average ($),Renew-Energy difference from industry (%),Recycling Rate difference from industry (%),Eco-friendly Product Lines difference from industry (%),Sustainable Packaging Initiatives difference from industry,Investment amount difference from industry average ($)
61.0,Company_61,IT,27471.0,74099.0,5805.0,13353.0,40.74,44.0,Public Transport,33.5,No,63.0,Bi-annually,34.84,2998064.0,Yes,62.0,1.0,0.99,High,98.0,3860.325,856.2200849999999,1373.55,9.530922630457907,-85.41907433969644,-77.24215403433242,3.3749371313701384,-2247.715337451338,119.52057432432434,-11.376378378378377,-8.902831081081082,-9.404554054054053,-2.0222972972972975,476659.53882927867
67.0,Company_67,IT,19586.0,919225.0,35505.0,14028.0,41.64,70.0,Bike,10.12,Yes,65.0,Quarterly,71.39,4820885.0,No,67.0,3.0,0.14,Low,103.0,31911.894,7078.0580892,979.3,-21.907733586686014,80.88167708191114,39.193336952804046,8.60058549231336,3974.1226667486617,-274.72942567567566,-34.75637837837838,-8.002831081081084,27.145445945945944,-0.022297297297297458,2299480.5388292787
70.0,Company_70,IT,25234.0,478957.0,30413.0,9285.0,62.02,85.0,Walking,32.64,Yes,34.0,Annually,78.31,2792385.0,Yes,93.0,2.0,0.72,High,274.0,20486.196799999998,4543.8384502399995,1261.7,0.6116741893988145,-5.752622687458554,19.230726848208125,-28.11830365724768,1439.9030277886613,7.670574324324434,-12.236378378378376,12.377168918918919,34.065445945945946,-1.0222972972972975,270980.53882927867
87.0,Company_87,IT,42350.0,256954.0,12317.0,13253.0,68.51,64.0,Public Transport,49.59,Yes,47.0,Quarterly,24.28,2205561.0,Yes,62.0,0.0,0.3,Low,132.0,6208.999699999999,1377.15613346,2117.5,68.85568684794482,-49.437547441697745,-51.71259452900472,2.6007670038229946,-1726.779288991338,863.4705743243244,4.713621621621627,18.86716891891892,-19.964554054054055,-3.0222972972972975,-315843.46117072133
101.0,Company_101,IT,37496.0,784710.0,3622.0,10876.0,54.45,48.0,Car,68.28,Yes,60.0,Bi-annually,78.26,4049172.0,Yes,88.0,1.0,0.55,Medium,147.0,1148.8984,254.82566512000002,1874.8,49.50207400355465,54.41231561690172,-85.80035864123204,-15.801256927972618,-2849.109757331338,620.7705743243243,23.403621621621625,4.807168918918919,34.01544594594595,-2.0222972972972975,1527767.5388292787
105.0,Company_105,IT,30790.0,424613.0,35582.0,3199.0,38.36,73.0,Public Transport,45.95,Yes,88.0,Annually,22.25,746533.0,Yes,64.0,3.0,0.45,Medium,73.0,19232.071,4265.6733478,1539.5,22.76426441672305,-16.446232912745483,39.49520674425217,-75.23429761976686,1161.7379253486615,285.4705743243244,1.0736216216216263,-11.282831081081085,-21.994554054054056,-0.022297297297297458,-1774871.4611707213
114.0,Company_114,IT,30512.0,359956.0,37403.0,8002.0,57.12,41.0,Car,60.5,Yes,77.0,Quarterly,40.46,626472.0,Yes,65.0,5.0,0.93,High,84.0,14774.185,3276.9142329999995,1525.6,21.655837475903013,-29.169196926001355,46.63423129265539,-38.050906393677536,172.9788105486614,271.5705743243243,15.623621621621623,7.477168918918913,-3.7845540540540554,1.9777027027027025,-1894932.4611707213
132.0,Company_132,IT,11255.0,891372.0,28934.0,5141.0,62.7,92.0,Car,57.23,Yes,34.0,Quarterly,21.14,1621442.0,No,61.0,1.0,0.67,High,179.0,12375.071800000002,2744.7909252400004,562.75,-55.12465748586496,75.40086732177355,13.432474620262843,-60.19991374280133,-359.1444972113377,-691.2794256756756,12.35362162162162,13.057168918918919,-23.104554054054056,-2.0222972972972975,-899962.4611707213
141.0,Company_141,IT,43590.0,78883.0,18606.0,13435.0,49.14,99.0,Bike,68.83,Yes,79.0,Annually,49.53,4411897.0,No,70.0,3.0,0.66,High,89.0,5799.4902,1286.32692636,2179.5,73.79974946167451,-84.47769661045729,-27.057281302806025,4.009756635958796,-1817.608496091338,925.4705743243244,23.953621621621622,-0.5028310810810837,5.285445945945945,-0.022297297297297458,1890492.5388292787
144.0,Company_144,IT,48217.0,408566.0,44256.0,6872.0,41.75,98.0,Bike,23.98,Yes,66.0,Bi-annually,37.58,4861848.0,No,77.0,4.0,0.56,Medium,117.0,33643.411199999995,7462.108604159999,2410.85,92.24827987597062,-19.603901897089283,73.5006427315391,-46.79902883496027,4358.173181708661,1156.8205743243243,-20.896378378378376,-7.892831081081084,-6.664554054054058,0.9777027027027025,2340443.5388292787
148.0,Company_148,IT,15466.0,604531.0,15068.0,4253.0,45.67,60.0,Walking,75.44,Yes,71.0,Quarterly,37.38,4549401.0,No,93.0,1.0,0.4,Low,131.0,3700.7008,820.81543744,773.3,-38.334780335529764,18.95736204738211,-40.92761016181238,-67.07454447541996,-2283.119985011338,-480.72942567567566,30.56362162162162,-3.9728310810810825,-6.864554054054054,-2.0222972972972975,2027996.5388292787
179.0,Company_179,IT,25198.0,922132.0,14940.0,18691.0,52.02,45.0,Public Transport,55.0,No,31.0,Bi-annually,74.63,2546074.0,Yes,74.0,4.0,0.68,High,239.0,6723.0,1491.1614,1259.9,0.4681368877098885,81.45370573134639,-41.42941968525863,44.700138539836686,-1612.7740224513382,5.87057432432448,10.123621621621623,2.377168918918919,30.38544594594594,0.9777027027027025,24669.538829278667
195.0,Company_195,IT,1999.0,578225.0,11932.0,9766.0,43.65,59.0,Public Transport,32.86,No,36.0,Annually,63.89,4351432.0,No,83.0,3.0,0.43,Medium,231.0,8011.1448,1776.87191664,99.95,-92.02969260899548,13.780965194253927,-53.22194348624538,-24.394545343745914,-1327.063505811338,-1154.0794256756756,-12.016378378378377,-5.992831081081086,19.645445945945944,-0.022297297297297458,1830027.5388292787
198.0,Company_198,IT,25818.0,118565.0,43430.0,1505.0,72.51,60.0,Bike,77.86,Yes,94.0,Annually,16.8,1398037.0,No,72.0,4.0,0.01,Low,77.0,9615.402,2132.6961635999996,1290.9,2.9401681945747242,-76.66922022005842,70.26240315055006,-88.34873958041548,-971.2392588513385,36.87057432432448,32.98362162162162,22.86716891891892,-27.444554054054056,0.9777027027027025,-1123367.4611707213
212.0,Company_212,IT,47316.0,366867.0,36636.0,19427.0,25.67,69.0,Car,26.72,Yes,36.0,Bi-annually,16.74,1071311.0,No,93.0,1.0,0.11,Low,258.0,26846.860800000002,5954.6337254400005,2365.8,88.65586018647834,-27.809276046659427,43.62729453887985,50.39803067858366,2850.6983029886624,1111.7705743243246,-18.156378378378378,-23.972831081081083,-27.504554054054058,-2.0222972972972975,-1450093.4611707213
216.0,Company_216,IT,2954.0,719520.0,44701.0,18811.0,29.47,54.0,Car,39.76,No,68.0,Bi-annually,78.4,944057.0,No,97.0,3.0,0.48,Medium,143.0,26927.882400000002,5972.60431632,147.7,-88.2219669669698,41.58446984576866,75.24521490289519,45.62914269289326,2868.668893868662,-1106.3294256756756,-5.1163783783783785,-20.172831081081085,34.15544594594595,-0.022297297297297458,-1577347.4611707213
223.0,Company_223,IT,48416.0,940785.0,38361.0,24824.0,44.23,56.0,Bike,28.8,No,52.0,Quarterly,18.14,2304709.0,Yes,86.0,4.0,0.75,High,165.0,27313.032000000003,6058.030497600001,2420.8,93.04172218252886,85.12417370448559,50.38996194469838,92.17999246230303,2954.0950751486625,1166.7705743243246,-16.076378378378376,-5.412831081081087,-26.104554054054056,0.9777027027027025,-216695.46117072133
230.0,Company_230,IT,26098.0,622723.0,30255.0,4994.0,78.99,64.0,Public Transport,26.68,No,48.0,Bi-annually,56.19,116787.0,No,70.0,1.0,0.39,Low,146.0,22182.965999999997,4920.1818588,1304.9,4.056569429933037,22.537116154890203,18.611305717704166,-61.33794383029563,1816.2464363486615,50.87057432432448,-18.196378378378377,29.34716891891891,11.945445945945941,-2.0222972972972975,-2404617.4611707213
239.0,Company_239,IT,38344.0,916696.0,47908.0,3776.0,76.65,77.0,Public Transport,77.12,No,62.0,Bi-annually,35.8,4869137.0,Yes,53.0,3.0,0.07,Low,85.0,10961.350399999998,2431.2275187199994,1917.2,52.88317488778268,80.38402986676778,87.81789569736476,-70.76733598381985,-672.7079037313388,663.1705743243244,32.24362162162163,27.00716891891892,-8.44455405405406,-0.022297297297297458,2347732.5388292787
244.0,Company_244,IT,49103.0,792812.0,14638.0,20548.0,65.3,68.0,Bike,37.23,No,69.0,Bi-annually,10.35,750064.0,No,63.0,4.0,0.48,Medium,91.0,9188.2726,2037.95886268,2455.15,95.78089235642585,56.006597047147466,-42.61337652963961,59.07647780838715,-1065.976559771338,1201.1205743243245,-7.64637837837838,15.657168918918913,-33.894554054054055,0.9777027027027025,-1771340.4611707213
247.0,Company_247,IT,6792.0,695084.0,7443.0,1128.0,22.64,41.0,Car,19.6,Yes,46.0,Quarterly,57.28,3531625.0,Yes,67.0,3.0,0.4,Low,146.0,5984.1720000000005,1327.2893496000002,339.6,-72.91929574802263,36.776044638476016,-70.82056028898126,-91.26736096126822,-1776.646072851338,-914.4294256756756,-25.276378378378375,-27.002831081081084,13.035445945945945,-0.022297297297297458,1010220.5388292787
250.0,Company_250,IT,12235.0,75638.0,37681.0,5727.0,72.2,68.0,Walking,10.18,Yes,48.0,Bi-annually,63.04,3590492.0,No,80.0,3.0,0.8,High,167.0,33845.0742,7506.83745756,611.75,-51.217253162110865,-85.11623564293662,47.72409885139021,-55.66327679537506,4402.902035108662,-642.2794256756756,-34.69637837837838,22.55716891891892,18.795445945945943,-0.022297297297297458,1069087.5388292787
256.0,Company_256,IT,2711.0,541755.0,45270.0,7352.0,31.29,60.0,Walking,75.42,No,77.0,Annually,33.34,4650690.0,Yes,87.0,3.0,0.04,Low,112.99999999999999,11127.365999999998,2468.0497788,135.55,-89.19084375337005,6.604534219054928,77.47591505008982,-43.08301222273398,-635.8856436513383,-1118.4794256756757,30.543621621621625,-18.352831081081085,-10.904554054054053,-0.022297297297297458,2129285.5388292787
271.0,Company_271,IT,22937.0,836262.0,41730.0,3802.0,60.37,84.0,Car,12.09,No,30.0,Quarterly,34.9,2076142.0,No,60.0,4.0,0.11,Low,200.0,36684.843,8136.6981774,1146.85,-8.546803087808488,64.55652646509088,63.59774541727962,-70.56605175065759,5032.7627549486615,-107.1794256756757,-32.78637837837837,10.727168918918913,-9.344554054054058,0.9777027027027025,-445262.46117072133
294.0,Company_294,IT,13978.0,120999.0,12043.0,6732.0,32.09,92.0,Public Transport,54.98,Yes,85.0,Annually,66.46,995507.0,No,84.0,5.0,0.61,High,99.0,5421.7586,1202.54605748,698.9,-44.267655472005366,-76.19026675162863,-52.786780540131836,-47.882867013526266,-1901.3893649713382,-555.1294256756756,10.10362162162162,-17.55283108108108,22.215445945945937,1.9777027027027025,-1525897.4611707213
301.0,Company_301,IT,23757.0,652819.0,20091.0,20486.0,79.08,97.0,Walking,44.33,No,40.0,Annually,11.54,398012.0,Yes,76.0,3.0,0.48,Medium,190.0,11184.6597,2480.75752146,1187.85,-5.277342327116286,28.45929511374924,-21.2355067534492,58.59649232930793,-623.177900991338,-66.1794256756757,-0.5463783783783782,29.437168918918914,-32.70455405405406,-0.022297297297297458,-2123392.4611707213
313.0,Company_313,IT,9593.0,534837.0,35817.0,12692.0,64.67,80.0,Public Transport,20.74,Yes,97.0,Annually,61.77,921001.0,Yes,94.0,7.0,0.34,Low,97.0,28388.554200000002,6296.58132156,479.65,-61.75129624717037,5.243235905744627,40.416497666204265,-1.7423274117164833,3192.645899108662,-774.3794256756756,-24.136378378378378,15.027168918918917,17.525445945945947,3.9777027027027025,-1600403.4611707213
316.0,Company_316,IT,6783.0,642881.0,8549.0,778.0,27.07,75.0,Car,11.71,Yes,52.0,Quarterly,58.27,2438723.0,No,50.0,2.0,0.66,High,96.0,7547.9121,1674.12690378,339.15,-72.95518007344486,26.5037324312286,-66.48461237545355,-93.97695640768322,-1429.808518671338,-914.8794256756756,-33.166378378378376,-22.572831081081084,14.025445945945947,-1.0222972972972975,-82681.46117072133
338.0,Company_338,IT,39322.0,742316.0,39241.0,8951.0,46.82,97.0,Walking,15.75,Yes,81.0,Annually,14.2,3123048.0,Yes,85.0,6.0,0.82,High,105.0,33060.5425,7332.828326500001,1966.1,56.7826049169985,46.07018195190072,53.83990241839132,-30.70403188325514,4228.892904048663,712.0705743243243,-29.126378378378377,-2.822831081081084,-30.044554054054057,2.9777027027027025,601643.5388292787
343.0,Company_343,IT,37872.0,719382.0,34245.0,18830.0,31.34,78.0,Car,25.35,Yes,62.0,Bi-annually,61.97,4806117.0,Yes,53.0,4.0,0.73,High,85.0,25563.8925,5670.071356500001,1893.6,51.001241376750095,41.55731471896369,34.253649456380074,45.77623501712721,2566.1359340486624,639.5705743243243,-19.526378378378375,-18.302831081081084,17.725445945945943,0.9777027027027025,2284712.5388292787
345.0,Company_345,IT,34844.0,708949.0,7953.0,2216.0,41.18,88.0,Public Transport,28.99,Yes,56.0,Quarterly,40.31,1889103.0,Yes,79.0,4.0,0.7,High,141.0,5647.4253,1252.59893154,1742.2,38.928159445803765,39.50434777725129,-68.82116296900013,-82.8443899735553,-1851.3364909113382,488.17057432432443,-15.886378378378378,-8.462831081081085,-3.934554054054054,0.9777027027027025,-632301.4611707213
353.0,Company_353,IT,20477.0,713246.0,21000.0,21082.0,57.84,64.0,Walking,77.36,No,49.0,Annually,56.88,828508.0,No,87.0,2.0,0.04,Low,178.0,4754.4,1054.5259199999998,1023.85,-18.355185369885092,40.34989545754824,-17.67187505960048,63.2105462894889,-2049.409502451338,-230.1794256756756,32.48362162162162,8.19716891891892,12.635445945945946,-1.0222972972972975,-1692896.4611707213
380.0,Company_380,IT,35495.0,560646.0,27396.0,12397.0,72.29,43.0,Walking,66.11,Yes,77.0,Quarterly,19.04,1665384.0,No,71.0,3.0,0.21,Low,92.0,9284.5044,2059.30307592,1774.75,41.52379231801185,10.32183494711866,7.40291956510406,-4.026129287980558,-1044.632346531338,520.7205743243244,21.233621621621623,22.647168918918922,-25.204554054054057,-0.022297297297297458,-856020.4611707213
385.0,Company_385,IT,5740.0,585515.0,10724.0,9707.0,41.61,74.0,Walking,51.04,No,88.0,Annually,53.99,496876.0,No,61.0,3.0,0.92,High,69.0,5250.4704,1164.55433472,287.0,-77.11377467515459,15.215464284168945,-57.95777086376931,-24.85130571899873,-1939.381087731338,-967.0294256756756,6.163621621621623,-8.032831081081085,9.745445945945946,-0.022297297297297458,-2024528.4611707213
393.0,Company_393,IT,45881.0,774298.0,49019.0,22331.0,32.99,73.0,Bike,50.23,Yes,39.0,Bi-annually,79.06,4842886.0,Yes,73.0,3.0,0.04,Low,187.0,24396.756300000005,5411.200547340001,2294.05,82.93430385526698,52.36348097709443,92.1734455454021,72.87993118255272,2307.265124888663,1040.0205743243246,5.35362162162162,-16.652831081081082,34.815445945945946,-0.022297297297297458,2321481.5388292787
419.0,Company_419,IT,29248.0,933433.0,14257.0,13845.0,55.22,67.0,Public Transport,29.9,Yes,67.0,Annually,31.8,4872574.0,Yes,64.0,6.0,0.43,Medium,96.0,9994.157,2216.7040226,1462.4,16.61608332771406,83.67747448513644,-44.10704393927257,7.183854158902086,-887.2313998513382,208.37057432432448,-14.976378378378378,5.577168918918915,-12.444554054054056,2.9777027027027025,2351169.5388292787
426.0,Company_426,IT,36033.0,486264.0,31049.0,20676.0,49.27,80.0,Bike,75.06,No,51.0,Bi-annually,69.07,1792331.0,Yes,95.0,4.0,0.6,Medium,186.0,7743.620599999999,1717.5350490799997,1801.65,43.66887754880746,-4.314778400763213,21.72409291783165,60.0674155716475,-1386.4003733713384,547.6205743243245,30.183621621621626,-0.3728310810810811,24.825445945945937,0.9777027027027025,-729073.4611707213
430.0,Company_430,IT,46841.0,98396.0,11046.0,2947.0,20.6,44.0,Walking,61.5,Yes,81.0,Quarterly,65.46,2363396.0,No,90.0,3.0,0.16,Low,111.00000000000001,4252.71,943.251078,2342.05,86.76196523363834,-80.63800103548996,-56.69540628134985,-77.18520634118566,-2160.684344451338,1088.0205743243246,16.623621621621623,-29.042831081081083,21.215445945945937,-0.022297297297297458,-158008.46117072133
434.0,Company_434,IT,27437.0,867800.0,42413.0,19700.0,49.82,84.0,Public Transport,39.64,No,70.0,Annually,21.44,1687093.0,No,75.0,2.0,0.57,Medium,107.0,25600.486800000002,5678.187972240001,1371.85,9.395359623307256,70.7624568214338,66.27536967129356,52.511515126787366,2574.2525497886627,117.8205743243243,-5.236378378378376,0.17716891891891606,-22.804554054054055,-1.0222972972972975,-834311.4611707213
436.0,Company_436,IT,24654.0,607255.0,32919.0,2371.0,65.1,93.0,Public Transport,27.05,Yes,73.0,Bi-annually,74.17,3435609.0,No,91.0,4.0,0.33,Low,125.0,24014.4105,5326.3962489,1232.7,-1.700871226700548,19.493380637358584,29.055216424429137,-81.64442627585721,2222.4608264486615,-21.329425675675566,-17.826378378378376,15.45716891891891,29.925445945945945,0.9777027027027025,914204.5388292787
449.0,Company_449,IT,25297.0,172253.0,22888.0,23783.0,60.49,46.0,Bike,28.26,No,87.0,Bi-annually,29.17,4674537.0,Yes,97.0,2.0,0.67,High,111.00000000000001,16419.851199999997,3641.922996159999,1264.85,0.8628644673544348,-66.10469523523572,-10.27018458876837,84.12088143453725,537.9875737086609,10.820574324324298,-16.616378378378375,10.847168918918918,-15.074554054054055,-1.0222972972972975,2153132.5388292787
454.0,Company_454,IT,25308.0,458703.0,37044.0,12721.0,66.96,69.0,Car,62.95,Yes,91.0,Annually,75.46,3550485.0,Yes,67.0,2.0,0.76,High,74.0,13724.802,3044.1610836,1265.4,0.9067230873149401,-9.738129486791717,45.22681239486475,-1.5178180747278114,-59.77433885133814,11.37057432432448,18.073621621621626,17.31716891891891,31.215445945945937,-1.0222972972972975,1029080.5388292787
458.0,Company_458,IT,5613.0,51397.0,23005.0,5025.0,52.08,87.0,Walking,49.26,Yes,96.0,Annually,18.74,2049132.0,Yes,81.0,5.0,0.96,High,84.0,11672.737,2589.0130665999995,280.65,-77.62014237833496,-89.88628947539614,-9.811499321243287,-61.097951090756005,-514.9223558513386,-973.3794256756756,4.3836216216216215,2.437168918918914,-25.504554054054058,1.9777027027027025,-472272.46117072133
462.0,Company_462,IT,45542.0,307386.0,39568.0,16450.0,59.14,90.0,Bike,38.43,Yes,50.0,Annually,49.09,1411608.0,Yes,91.0,3.0,0.5,Medium,182.0,24362.017600000003,5403.49550368,2277.1,81.5826609310296,-39.51372602844751,55.12186893532039,27.35098598150519,2299.560081228662,1023.0705743243243,-6.446378378378377,9.497168918918916,4.845445945945947,-0.022297297297297458,-1109796.4611707213
465.0,Company_465,IT,3239.0,796490.0,37721.0,1992.0,63.12,44.0,Bike,18.59,Yes,47.0,Quarterly,77.39,2298759.0,Yes,52.0,4.0,0.09,Low,111.00000000000001,30708.6661,6811.1821409799995,161.95,-87.0856299952658,56.73034020938442,47.88091432746715,-84.57853105926088,3707.2467185286614,-1092.0794256756756,-26.286378378378377,13.477168918918913,33.145445945945944,0.9777027027027025,-222645.46117072133
480.0,Company_480,IT,41201.0,317171.0,16638.0,5099.0,21.98,43.0,Bike,10.03,Yes,55.0,Quarterly,64.93,3699600.0,No,62.0,3.0,0.38,Low,112.99999999999999,14969.208599999998,3320.17046748,2060.05,64.27445463570662,-37.588270116949786,-34.772602725792034,-60.52506519637113,216.23504502866172,806.0205743243246,-34.846378378378375,-27.662831081081084,20.68544594594595,-0.022297297297297458,1178195.5388292787
489.0,Company_489,IT,46822.0,623752.0,28220.0,21889.0,54.39,50.0,Walking,35.41,No,35.0,Bi-annually,62.72,3730675.0,Yes,59.0,1.0,0.53,Medium,169.0,18227.298,4042.8146964,2341.1,86.68620943552475,22.739598948240346,10.63331837228926,69.45809921879436,938.8792739486616,1087.0705743243243,-9.46637837837838,4.747168918918916,18.475445945945943,-2.0222972972972975,1209270.5388292787
493.0,Company_493,IT,31573.0,127096.0,46649.0,3286.0,46.63,84.0,Bike,23.31,Yes,55.0,Quarterly,53.72,1789689.0,Yes,66.0,4.0,0.96,High,120.0,35775.1181,7934.92119458,1578.65,25.886200728457194,-74.99052176517982,82.88212858784273,-74.56076960880085,4830.985772128662,324.6205743243245,-21.566378378378378,-3.0128310810810817,9.475445945945943,0.9777027027027025,-731715.4611707213
509.0,Company_509,IT,13025.0,487050.0,23290.0,14669.0,31.63,83.0,Public Transport,75.34,Yes,67.0,Annually,26.15,1866822.0,Yes,79.0,3.0,0.12,Low,118.0,5743.313999999999,1273.8670452,651.25,-48.06740681949277,-4.160112243743569,-8.694189054195007,13.563016009890555,-1830.0683772513382,-602.7794256756756,30.463621621621627,-18.012831081081085,-18.094554054054058,-0.022297297297297458,-654582.4611707213
510.0,Company_510,IT,15255.0,959797.0,37645.0,3517.0,79.69,83.0,Walking,27.69,Yes,55.0,Annually,66.11,803566.0,Yes,51.0,3.0,0.71,High,93.0,27221.0995,6037.6398690999995,762.75,-39.17606840931763,88.86528436257397,47.58296492292095,-72.77243661416695,2933.7044466486614,-491.2794256756756,-17.186378378378375,30.047168918918914,21.865445945945943,-0.022297297297297458,-1717838.4611707213
513.0,Company_513,IT,29976.0,604736.0,7278.0,17635.0,26.72,46.0,Public Transport,18.01,Yes,95.0,Quarterly,74.05,3148197.0,Yes,72.0,1.0,0.97,High,76.0,5967.2321999999995,1323.53210196,1498.8,19.51872653964567,18.997701185027182,-71.46742412779868,36.524901992938844,-1780.403320491338,244.77057432432434,-26.866378378378375,-22.922831081081085,29.80544594594594,-2.0222972972972975,626792.5388292787
525.0,Company_525,IT,28833.0,423860.0,46837.0,21787.0,49.15,89.0,Public Transport,32.07,Yes,58.0,Bi-annually,31.21,2584591.0,No,71.0,2.0,0.04,Low,122.0,31816.3741,7056.87177538,1441.65,14.96141721102227,-16.594405452485677,83.6191613254044,68.66844568869627,3952.936352928662,187.62057432432448,-12.806378378378376,-0.49283108108108564,-13.034554054054055,-1.0222972972972975,63186.53882927867
